# kernel-wiki source mapping
# format: source<TAB>src_rel_path<TAB>wiki_path
# source: tvm | cuda | leetcuda
# src_rel_path: relative to source root (~/tvm_mlir_learn, ~/how-to-optim-algorithm-in-cuda/korean, ~/leetcuda/blogs/ko)
# wiki_path: relative to content/
# To add a new file: add a line here and run ./sync.sh

# === TVM: pandaCV_blog articles ===
tvm	pandaCV_blog/articles/tvm_learning_guide/TVM 학습 가이드 (개인 버전).md	1-dl-compiler/tvm/TVM 학습 가이드 (개인 버전).md
tvm	pandaCV_blog/articles/tvm_primitive_compute/TVM Primitive — Compute 편.md	1-dl-compiler/tvm/TVM Primitive — Compute 편.md
tvm	pandaCV_blog/articles/tvm_schedule_examples/TVM schedule 상세 예시.md	1-dl-compiler/tvm/TVM schedule 상세 예시.md
tvm	pandaCV_blog/articles/tvm_oneflow_frontend/[커뮤니티 실전] TVM에 OneFlow 프론트엔드 추가하기.md	1-dl-compiler/tvm/[커뮤니티 실전] TVM에 OneFlow 프론트엔드 추가하기.md
tvm	pandaCV_blog/articles/tvm_3gen_optimize_x86_matmul/[TVM 3세대 최적화 순례] X86에서 일반 matmul operator를 90배 가속하기.md	1-dl-compiler/tvm/[TVM 3세대 최적화 순례] X86에서 일반 matmul operator를 90배 가속하기.md
tvm	pandaCV_blog/articles/ansor_paper_reading/Ansor 논문 리딩 노트 & 논문 번역.md	1-dl-compiler/tvm/Ansor 논문 리딩 노트 & 논문 번역.md

# === TVM: zerodl 시리즈 (1~10) ===
tvm	pandaCV_blog/articles/zerodl_1_dl_compiler_tvm_intro/[밑바닥부터 배우는 딥러닝 컴파일러] 1. 딥러닝 컴파일러 및 TVM 소개.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 1. 딥러닝 컴파일러 및 TVM 소개.md
tvm	pandaCV_blog/articles/zerodl_2_tvm_scheduler/[밑바닥부터 배우는 딥러닝 컴파일러] 2. TVM의 scheduler.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 2. TVM의 scheduler.md
tvm	pandaCV_blog/articles/zerodl_3_tvm_onnx_frontend/[밑바닥부터 배우는 TVM] 3. ONNX 모델 구조를 통해 TVM 프론트엔드 이해하기.md	1-dl-compiler/tvm/[밑바닥부터 배우는 TVM] 3. ONNX 모델 구조를 통해 TVM 프론트엔드 이해하기.md
tvm	pandaCV_blog/articles/zerodl_4_tvm_operator_analysis/[밑바닥부터 배우는 딥러닝 컴파일러] 4. TVM operator 분석.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 4. TVM operator 분석.md
tvm	pandaCV_blog/articles/zerodl_5_tvm_relay_pass/[밑바닥부터 배우는 딥러닝 컴파일러] 5. TVM Relay 및 Pass 소개.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 5. TVM Relay 및 Pass 소개.md
tvm	pandaCV_blog/articles/zerodl_6_tvm_compile_flow/[밑바닥부터 배우는 딥러닝 컴파일러] 6. TVM 컴파일 플로우 상세 해설.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 6. TVM 컴파일 플로우 상세 해설.md
tvm	pandaCV_blog/articles/zerodl_7_tvm_pass_intro/[밑바닥부터 배우는 딥러닝 컴파일러] 7. TVM Pass 입문 장문 가이드.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 7. TVM Pass 입문 장문 가이드.md
tvm	pandaCV_blog/articles/zerodl_8_tvm_operator_fusion_pass_infra/[밑바닥부터 배우는 딥러닝 컴파일러] 8. TVM의 operator fusion과 TVM Pass Infra로 커스텀 Pass 만들기.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 8. TVM의 operator fusion과 TVM Pass Infra로 커스텀 Pass 만들기.md
tvm	pandaCV_blog/articles/zerodl_9_tvm_codegen/[밑바닥부터 배우는 딥러닝 컴파일러] 9. TVM의 CodeGen 흐름.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 9. TVM의 CodeGen 흐름.md
tvm	pandaCV_blog/articles/zerodl_10_tvm_overview/[밑바닥부터 배우는 딥러닝 컴파일러] 10. TVM 전체 조망.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 10. TVM 전체 조망.md
tvm	pandaCV_blog/articles/zerodl_extra1_dataflow_controlflow/[밑바닥부터 배우는 딥러닝 컴파일러] 외전 1. Data Flow와 Control Flow.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 외전 1. Data Flow와 Control Flow.md
tvm	pandaCV_blog/articles/zerodl_extra2_tvm_jetson_nano/[밑바닥부터 배우는 딥러닝 컴파일러] 외전 2. Jetson Nano에서 TVM 다루기.md	1-dl-compiler/tvm/[밑바닥부터 배우는 딥러닝 컴파일러] 외전 2. Jetson Nano에서 TVM 다루기.md
tvm	pandaCV_blog/articles/algorithm_optimization_space/알고리즘에 최적화 여지가 있는지 어떻게 판단할까.md	1-dl-compiler/tvm/알고리즘에 최적화 여지가 있는지 어떻게 판단할까.md
tvm	pandaCV_blog/articles/compiler_guide_operator_opt/딥러닝 컴파일러로 operator 최적화를 안내받을 수 있을까.md	1-dl-compiler/tvm/딥러닝 컴파일러로 operator 최적화를 안내받을 수 있을까.md
tvm	pandaCV_blog/articles/dl_compiler_layout_transform/딥러닝 컴파일러의 Layout Transform 최적화.md	1-dl-compiler/tvm/딥러닝 컴파일러의 Layout Transform 최적화.md

# === TVM: MLIR 관련 ===
tvm	pandaCV_blog/articles/buddy_mlir_intro/Buddy-MLIR 프로젝트 상세 (MLIR 입문에 매우 좋은 선택).md	1-dl-compiler/mlir/Buddy-MLIR 프로젝트 상세 (MLIR 입문에 매우 좋은 선택).md
tvm	pandaCV_blog/articles/mlir_moore_law_paper/MLIR — 무어의 법칙 종말 시대의 컴파일러 인프라스트럭처 (논문 해설).md	1-dl-compiler/mlir/MLIR — 무어의 법칙 종말 시대의 컴파일러 인프라스트럭처 (논문 해설).md
tvm	pandaCV_blog/articles/mlir_gpu_matmul_paper/[논문 해설] MLIR 기반 행렬 곱 고성능 GPU 코드 생성 — cuBLAS와 동등 성능.md	1-dl-compiler/mlir/[논문 해설] MLIR 기반 행렬 곱 고성능 GPU 코드 생성 — cuBLAS와 동등 성능.md
tvm	pandaCV_blog/articles/oneflow_mlir_dev_flow/OneFlow 사례로 살펴보는 MLIR 실제 개발 흐름.md	1-dl-compiler/mlir/OneFlow 사례로 살펴보는 MLIR 실제 개발 흐름.md
tvm	mlir-ods/MLIR ODS 핵심 정리.md	1-dl-compiler/mlir/MLIR ODS 핵심 정리.md

# === TVM: zerodl 시리즈 MLIR (11~20) ===
tvm	pandaCV_blog/articles/zerodl_11_mlir_first_encounter/[밑바닥부터 배우는 딥러닝 컴파일러] 11. MLIR 첫 만남.md	1-dl-compiler/mlir/[밑바닥부터 배우는 딥러닝 컴파일러] 11. MLIR 첫 만남.md
tvm	pandaCV_blog/articles/zerodl_12_mlir_toy_tutorial_1/[밑바닥부터 배우는 딥러닝 컴파일러] 12. MLIR Toy Tutorials 학습 노트 1.md	1-dl-compiler/mlir/[밑바닥부터 배우는 딥러닝 컴파일러] 12. MLIR Toy Tutorials 학습 노트 1.md
tvm	pandaCV_blog/articles/zerodl_13_mlir_writing_pass/[밑바닥부터 배우는 딥러닝 컴파일러] 13. MLIR에서 Pass를 어떻게 작성하는가.md	1-dl-compiler/mlir/[밑바닥부터 배우는 딥러닝 컴파일러] 13. MLIR에서 Pass를 어떻게 작성하는가.md
tvm	pandaCV_blog/articles/zerodl_14_mlir_toy_partial_lowering/[밑바닥부터 배우는 딥러닝 컴파일러] 14. MLIR Toy Tutorials 학습 노트 — 부분 Lowering.md	1-dl-compiler/mlir/[밑바닥부터 배우는 딥러닝 컴파일러] 14. MLIR Toy Tutorials 학습 노트 — 부분 Lowering.md
